The state associated with the return,The State Federal Information Processing System (FIPS) code,zipcode,Number of returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of elderly returns,Adjusted gross income (AGI),Number of returns with total income, Total income amount ,Total Income Tax,Mean Income,agi_stub_count,note
AK,2,0,344240,120580,35530,630120,82430,30327338,344230," 30,606,142 ",3815456," 88,909.31 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99501,7560,1440,970,11710,1720,712828,7560," 720,216 ",111107," 95,266.67 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99502,11800,3950,1340,20810,2680,1155859,11800," 1,165,478 ",153884," 98,769.32 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99503,7140,1470,940,11200,1650,520017,7140," 524,570 ",65581," 73,469.19 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99504,19030,5450,2890,34450,4050,1333162,19030," 1,342,747 ",138008," 70,559.49 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99505,2020,870,90,4850,30,111793,2020," 112,500 ",6574," 55,693.07 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99506,2730,1340,100,5540,50,138491,2730," 139,249 ",8054," 51,006.96 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99507,18340,6080,2000,32430,3950,1748530,18340," 1,766,824 ",236059," 96,337.19 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99508,14910,3460,2470,25980,2940,1002942,14910," 1,011,457 ",108639," 67,837.49 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99515,11140,4060,1100,20180,2710,1239412,11140," 1,249,576 ",179597," 112,170.20 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99516,10140,5070,450,19890,2850,1787265,10140," 1,811,098 ",312141," 178,609.27 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99517,7880,2220,820,12770,1970,807792,7880," 817,112 ",118598," 103,694.42 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99518,5280,1390,570,8580,1140,442223,5280," 445,954 ",57140," 84,460.98 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99540,140,50,0,220,60,16666,140,16746.0002,2524," 119,614.29 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99556,1270,520,90,2360,440,86737,1270," 87,601 ",8789," 68,977.17 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99559,2800,740,470,5580,460,208134,2800," 209,279 ",24834," 74,742.50 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99567,4150,1880,270,7920,1210,416414,4150," 419,312 ",51247," 101,039.04 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99568,170,70,0,310,70,13500,170," 13,566 ",1576," 79,800.00 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99572,230,80,0,360,80,18006,230,18224.0002,1951," 79,234.78 ",6,Sum of all income groups (agi_stubs 1-6)
